DATE;corp_BBB_1Y;IRP
03.01.2022;1.869;0.40110966
04.01.2022;1.808;NA
05.01.2022;1.837;NA
06.01.2022;1.82;NA
07.01.2022;1.894;NA
10.01.2022;1.898;NA
11.01.2022;1.84;NA
12.01.2022;1.853;NA
13.01.2022;1.882;NA
14.01.2022;1.935;NA
18.01.2022;2.065;NA
19.01.2022;2.109;NA
20.01.2022;2.068;NA
21.01.2022;2.073;NA
24.01.2022;2.089;NA
25.01.2022;2.09;NA
26.01.2022;2.167;NA
27.01.2022;2.198;NA
28.01.2022;2.188;NA
31.01.2022;2.209;NA
01.02.2022;2.147;0.40137972
02.02.2022;2.118;NA
03.02.2022;2.161;NA
04.02.2022;2.214;NA
07.02.2022;2.214;NA
08.02.2022;2.226;NA
09.02.2022;2.191;NA
10.02.2022;2.394;NA
11.02.2022;2.334;NA
14.02.2022;2.374;NA
15.02.2022;2.415;NA
16.02.2022;2.358;NA
17.02.2022;2.314;NA
18.02.2022;2.362;NA
22.02.2022;2.478;NA
23.02.2022;2.568;NA
24.02.2022;2.609;NA
25.02.2022;2.707;NA
28.02.2022;2.573;NA
01.03.2022;2.553;0.34034781
02.03.2022;2.563;NA
03.03.2022;2.543;NA
04.03.2022;2.599;NA
07.03.2022;2.599;NA
08.03.2022;2.701;NA
09.03.2022;2.791;NA
10.03.2022;2.753;NA
11.03.2022;2.834;NA
14.03.2022;2.992;NA
15.03.2022;3.092;NA
16.03.2022;3.177;NA
17.03.2022;3.158;NA
18.03.2022;3.333;NA
21.03.2022;3.278;NA
22.03.2022;3.303;NA
23.03.2022;3.208;NA
24.03.2022;3.168;NA
25.03.2022;3.498;NA
28.03.2022;3.511;NA
29.03.2022;3.502;NA
30.03.2022;3.428;NA
31.03.2022;3.445;NA
01.04.2022;3.514;0.50830429
04.04.2022;3.493;NA
05.04.2022;3.454;NA
06.04.2022;3.464;NA
07.04.2022;3.412;NA
08.04.2022;3.464;NA
11.04.2022;3.553;NA
12.04.2022;3.547;NA
13.04.2022;3.488;NA
14.04.2022;3.534;NA
18.04.2022;3.535;NA
19.04.2022;3.628;NA
20.04.2022;3.586;NA
21.04.2022;3.503;NA
22.04.2022;3.563;NA
25.04.2022;3.631;NA
26.04.2022;3.59;NA
27.04.2022;3.55;NA
28.04.2022;3.575;NA
29.04.2022;3.611;NA
02.05.2022;3.623;0.51323801
03.05.2022;3.639;NA
04.05.2022;3.634;NA
05.05.2022;3.725;NA
06.05.2022;3.789;NA
09.05.2022;3.686;NA
10.05.2022;3.691;NA
11.05.2022;3.701;NA
12.05.2022;3.694;NA
13.05.2022;3.74;NA
16.05.2022;3.717;NA
17.05.2022;3.818;NA
18.05.2022;3.841;NA
19.05.2022;3.808;NA
20.05.2022;3.746;NA
23.05.2022;3.778;NA
24.05.2022;3.719;NA
25.05.2022;3.581;NA
26.05.2022;3.55;NA
27.05.2022;3.632;NA
31.05.2022;3.657;NA
01.06.2022;3.636;0.4652208
02.06.2022;3.683;NA
03.06.2022;3.709;NA
06.06.2022;3.737;NA
07.06.2022;3.742;NA
08.06.2022;3.771;NA
09.06.2022;3.852;NA
10.06.2022;4.015;NA
13.06.2022;4.368;NA
14.06.2022;4.41;NA
15.06.2022;4.274;NA
16.06.2022;4.226;NA
17.06.2022;4.238;NA
21.06.2022;4.285;NA
22.06.2022;4.191;NA
23.06.2022;4.241;NA
24.06.2022;4.266;NA
27.06.2022;4.332;NA
28.06.2022;4.343;NA
29.06.2022;4.324;NA
30.06.2022;4.282;NA
01.07.2022;4.246;0.36556637
05.07.2022;4.259;NA
06.07.2022;4.382;NA
07.07.2022;4.54;NA
08.07.2022;4.557;NA
11.07.2022;4.588;NA
12.07.2022;4.613;NA
13.07.2022;4.694;NA
14.07.2022;4.719;NA
15.07.2022;4.742;NA
18.07.2022;4.779;NA
19.07.2022;4.852;NA
20.07.2022;4.897;NA
21.07.2022;4.858;NA
22.07.2022;4.803;NA
25.07.2022;4.886;NA
26.07.2022;4.896;NA
27.07.2022;4.825;NA
28.07.2022;4.771;NA
29.07.2022;4.683;NA
01.08.2022;4.732;0.3956813
02.08.2022;4.771;NA
03.08.2022;4.788;NA
04.08.2022;4.823;NA
05.08.2022;4.848;NA
08.08.2022;4.981;NA
09.08.2022;4.877;NA
10.08.2022;4.905;NA
11.08.2022;5.013;NA
12.08.2022;5.155;NA
15.08.2022;4.934;NA
16.08.2022;4.776;NA
17.08.2022;4.992;NA
18.08.2022;4.77;NA
19.08.2022;4.775;NA
22.08.2022;4.874;NA
23.08.2022;4.816;NA
24.08.2022;4.882;NA
25.08.2022;4.835;NA
26.08.2022;4.867;NA
29.08.2022;4.88;NA
30.08.2022;4.893;NA
31.08.2022;4.946;NA
01.09.2022;4.946;0.51940094
02.09.2022;4.991;NA
06.09.2022;4.928;NA
07.09.2022;4.846;NA
08.09.2022;4.869;NA
09.09.2022;4.942;NA
12.09.2022;4.923;NA
13.09.2022;5.009;NA
14.09.2022;5.2;NA
15.09.2022;5.131;NA
16.09.2022;5.209;NA
19.09.2022;5.22;NA
20.09.2022;5.261;NA
21.09.2022;5.296;NA
22.09.2022;5.377;NA
23.09.2022;5.449;NA
26.09.2022;5.598;NA
